,ts_code,symbol,name,area,industry,fullname
0,600000.SH,600000,浦发银行,上海,银行,上海浦东发展银行股份有限公司
1,600004.SH,600004,白云机场,广东,机场,广州白云国际机场股份有限公司
2,600006.SH,600006,东风汽车,湖北,汽车整车,东风汽车股份有限公司
3,600007.SH,600007,中国国贸,北京,园区开发,中国国际贸易中心股份有限公司
4,600008.SH,600008,首创环保,北京,环境保护,北京首创生态环保集团股份有限公司
5,600009.SH,600009,上海机场,上海,机场,上海国际机场股份有限公司
6,600010.SH,600010,包钢股份,内蒙,普钢,内蒙古包钢钢联股份有限公司
7,600011.SH,600011,华能国际,北京,火力发电,华能国际电力股份有限公司
8,600012.SH,600012,皖通高速,安徽,路桥,安徽皖通高速公路股份有限公司
9,600015.SH,600015,华夏银行,北京,银行,华夏银行股份有限公司
10,600016.SH,600016,民生银行,北京,银行,中国民生银行股份有限公司
11,600017.SH,600017,日照港,山东,港口,日照港股份有限公司
12,600018.SH,600018,上港集团,上海,港口,上海国际港务(集团)股份有限公司
13,600019.SH,600019,宝钢股份,上海,普钢,宝山钢铁股份有限公司
14,600020.SH,600020,中原高速,河南,路桥,河南中原高速公路股份有限公司
15,600021.SH,600021,上海电力,上海,火力发电,上海电力股份有限公司
16,600022.SH,600022,山东钢铁,山东,普钢,山东钢铁股份有限公司
17,600023.SH,600023,浙能电力,浙江,火力发电,浙江浙能电力股份有限公司
18,600025.SH,600025,华能水电,云南,水力发电,华能澜沧江水电股份有限公司
19,600026.SH,600026,中远海能,上海,水运,中远海运能源运输股份有限公司
20,600027.SH,600027,华电国际,山东,火力发电,华电国际电力股份有限公司
21,600028.SH,600028,中国石化,北京,石油加工,中国石油化工股份有限公司
22,600029.SH,600029,南方航空,广东,空运,中国南方航空股份有限公司
23,600030.SH,600030,中信证券,深圳,证券,中信证券股份有限公司
24,600031.SH,600031,三一重工,北京,工程机械,三一重工股份有限公司
25,600032.SH,600032,浙江新能,浙江,新型电力,浙江省新能源投资集团股份有限公司
26,600033.SH,600033,福建高速,福建,路桥,福建发展高速公路股份有限公司
27,600035.SH,600035,楚天高速,湖北,路桥,湖北楚天智能交通股份有限公司
28,600036.SH,600036,招商银行,深圳,银行,招商银行股份有限公司
29,600037.SH,600037,歌华有线,北京,影视音像,北京歌华有线电视网络股份有限公司
30,600038.SH,600038,中直股份,黑龙江,航空,中航直升机股份有限公司
31,600039.SH,600039,四川路桥,四川,建筑工程,四川路桥建设集团股份有限公司
32,600048.SH,600048,保利发展,广东,全国地产,保利发展控股集团股份有限公司
33,600050.SH,600050,中国联通,北京,电信运营,中国联合网络通信股份有限公司
34,600051.SH,600051,宁波联合,浙江,综合类,宁波联合集团股份有限公司
35,600052.SH,600052,浙江广厦,浙江,影视音像,浙江广厦股份有限公司
36,600053.SH,600053,九鼎投资,江西,多元金融,昆吾九鼎投资控股股份有限公司
37,600054.SH,600054,黄山旅游,安徽,旅游景点,黄山旅游发展股份有限公司
38,600055.SH,600055,万东医疗,北京,医疗保健,北京万东医疗科技股份有限公司
39,600056.SH,600056,中国医药,北京,医药商业,中国医药健康产业股份有限公司
40,600057.SH,600057,厦门象屿,福建,仓储物流,厦门象屿股份有限公司
41,600058.SH,600058,五矿发展,北京,商贸代理,五矿发展股份有限公司
42,600059.SH,600059,古越龙山,浙江,红黄酒,浙江古越龙山绍兴酒股份有限公司
43,600060.SH,600060,海信视像,山东,家用电器,海信视像科技股份有限公司
44,600061.SH,600061,国投资本,上海,证券,国投资本股份有限公司
45,600062.SH,600062,华润双鹤,北京,化学制药,华润双鹤药业股份有限公司
46,600063.SH,600063,皖维高新,安徽,化纤,安徽皖维高新材料股份有限公司
47,600064.SH,600064,南京高科,江苏,园区开发,南京高科股份有限公司
48,600066.SH,600066,宇通客车,河南,汽车整车,宇通客车股份有限公司
49,600067.SH,600067,冠城大通,福建,全国地产,冠城大通股份有限公司
50,600070.SH,600070,浙江富润,浙江,互联网,浙江富润数字科技股份有限公司
51,600071.SH,600071,凤凰光学,江西,元器件,凤凰光学股份有限公司
52,600072.SH,600072,中船科技,上海,船舶,中船科技股份有限公司
53,600073.SH,600073,上海梅林,上海,食品,上海梅林正广和股份有限公司
54,600075.SH,600075,新疆天业,新疆,化工原料,新疆天业股份有限公司
55,600076.SH,600076,康欣新材,山东,其他建材,康欣新材料股份有限公司
56,600077.SH,600077,宋都股份,浙江,全国地产,宋都基业投资股份有限公司
57,600078.SH,600078,*ST澄星,江苏,化工原料,江苏澄星磷化工股份有限公司
58,600079.SH,600079,人福医药,湖北,化学制药,人福医药集团股份公司
59,600080.SH,600080,金花股份,陕西,中成药,金花企业(集团)股份有限公司
60,600081.SH,600081,东风科技,上海,汽车配件,东风电子科技股份有限公司
61,600082.SH,600082,海泰发展,天津,园区开发,天津海泰科技发展股份有限公司
62,600083.SH,600083,*ST博信,江苏,综合类,江苏博信投资控股股份有限公司
63,600084.SH,600084,*ST中葡,新疆,红黄酒,中信国安葡萄酒业股份有限公司
64,600085.SH,600085,同仁堂,北京,中成药,北京同仁堂股份有限公司
65,600088.SH,600088,中视传媒,上海,影视音像,中视传媒股份有限公司
66,600089.SH,600089,特变电工,新疆,电气设备,特变电工股份有限公司
67,600090.SH,600090,*ST济堂,新疆,医药商业,新疆同济堂健康产业股份有限公司
68,600091.SH,600091,*ST明科,内蒙,化工原料,包头明天科技股份有限公司
69,600093.SH,600093,*ST易见,云南,仓储物流,易见供应链管理股份有限公司
70,600094.SH,600094,大名城,上海,区域地产,上海大名城企业股份有限公司
71,600095.SH,600095,湘财股份,黑龙江,证券,湘财股份有限公司
72,600096.SH,600096,云天化,云南,农药化肥,云南云天化股份有限公司
73,600097.SH,600097,开创国际,上海,渔业,上海开创国际海洋资源股份有限公司
74,600098.SH,600098,广州发展,广东,火力发电,广州发展集团股份有限公司
75,600099.SH,600099,林海股份,江苏,摩托车,林海股份有限公司
76,600100.SH,600100,同方股份,北京,IT设备,同方股份有限公司
77,600101.SH,600101,明星电力,四川,水力发电,四川明星电力股份有限公司
78,600103.SH,600103,青山纸业,福建,造纸,福建省青山纸业股份有限公司
79,600104.SH,600104,上汽集团,上海,汽车整车,上海汽车集团股份有限公司
80,600105.SH,600105,永鼎股份,江苏,通信设备,江苏永鼎股份有限公司
81,600106.SH,600106,重庆路桥,重庆,路桥,重庆路桥股份有限公司
82,600107.SH,600107,美尔雅,湖北,服饰,湖北美尔雅股份有限公司
83,600108.SH,600108,亚盛集团,甘肃,农业综合,甘肃亚盛实业(集团)股份有限公司
84,600109.SH,600109,国金证券,四川,证券,国金证券股份有限公司
85,600110.SH,600110,诺德股份,吉林,电气设备,诺德投资股份有限公司
86,600111.SH,600111,北方稀土,内蒙,小金属,中国北方稀土(集团)高科技股份有限公司
87,600112.SH,600112,*ST天成,贵州,电气设备,贵州长征天成控股股份有限公司
88,600113.SH,600113,浙江东日,浙江,区域地产,浙江东日股份有限公司
89,600114.SH,600114,东睦股份,浙江,机械基件,东睦新材料集团股份有限公司
90,600115.SH,600115,中国东航,上海,空运,中国东方航空股份有限公司
91,600116.SH,600116,三峡水利,重庆,水力发电,重庆三峡水利电力(集团)股份有限公司
92,600117.SH,600117,西宁特钢,青海,特种钢,西宁特殊钢股份有限公司
93,600118.SH,600118,中国卫星,北京,航空,中国东方红卫星股份有限公司
94,600119.SH,600119,长江投资,上海,仓储物流,长发集团长江投资实业股份有限公司
95,600120.SH,600120,浙江东方,浙江,多元金融,浙江东方金融控股集团股份有限公司
96,600121.SH,600121,郑州煤电,河南,煤炭开采,郑州煤电股份有限公司
97,600122.SH,600122,ST宏图,江苏,其他商业,江苏宏图高科技股份有限公司
98,600123.SH,600123,兰花科创,山西,煤炭开采,山西兰花科技创业股份有限公司
99,600125.SH,600125,铁龙物流,辽宁,铁路,中铁铁龙集装箱物流股份有限公司
100,600126.SH,600126,杭钢股份,浙江,普钢,杭州钢铁股份有限公司
101,600127.SH,600127,金健米业,湖南,农业综合,金健米业股份有限公司
102,600128.SH,600128,弘业股份,江苏,商贸代理,江苏弘业股份有限公司
103,600129.SH,600129,太极集团,重庆,中成药,重庆太极实业(集团)股份有限公司
104,600130.SH,600130,波导股份,浙江,通信设备,宁波波导股份有限公司
105,600131.SH,600131,国网信通,四川,通信设备,国网信息通信股份有限公司
106,600132.SH,600132,重庆啤酒,重庆,啤酒,重庆啤酒股份有限公司
107,600133.SH,600133,东湖高新,湖北,园区开发,武汉东湖高新集团股份有限公司
108,600135.SH,600135,乐凯胶片,河北,化工原料,乐凯胶片股份有限公司
109,600136.SH,600136,当代文体,湖北,影视音像,武汉当代明诚文化体育集团股份有限公司
110,600137.SH,600137,浪莎股份,四川,服饰,四川浪莎控股股份有限公司
111,600138.SH,600138,中青旅,北京,旅游服务,中青旅控股股份有限公司
112,600139.SH,600139,ST西源,四川,综合类,四川西部资源控股股份有限公司
113,600141.SH,600141,兴发集团,湖北,化工原料,湖北兴发化工集团股份有限公司
114,600143.SH,600143,金发科技,广东,塑料,金发科技股份有限公司
115,600145.SH,600145,*ST新亿,新疆,房产服务,新疆亿路万源实业控股股份有限公司
116,600146.SH,600146,*ST环球,宁夏,服饰,商赢环球股份有限公司
117,600148.SH,600148,长春一东,吉林,汽车配件,长春一东离合器股份有限公司
118,600149.SH,600149,廊坊发展,河北,综合类,廊坊发展股份有限公司
119,600150.SH,600150,中国船舶,上海,船舶,中国船舶工业股份有限公司
120,600151.SH,600151,航天机电,上海,汽车配件,上海航天汽车机电股份有限公司
121,600152.SH,600152,维科技术,浙江,电气设备,维科技术股份有限公司
122,600153.SH,600153,建发股份,福建,商贸代理,厦门建发股份有限公司
123,600155.SH,600155,华创阳安,北京,证券,华创阳安股份有限公司
124,600156.SH,600156,华升股份,湖南,纺织,湖南华升股份有限公司
125,600157.SH,600157,永泰能源,山西,火力发电,永泰能源股份有限公司
126,600158.SH,600158,中体产业,天津,文教休闲,中体产业集团股份有限公司
127,600159.SH,600159,大龙地产,北京,区域地产,北京市大龙伟业房地产开发股份有限公司
128,600160.SH,600160,巨化股份,浙江,化工原料,浙江巨化股份有限公司
129,600161.SH,600161,天坛生物,北京,生物制药,北京天坛生物制品股份有限公司
130,600162.SH,600162,香江控股,深圳,全国地产,深圳香江控股股份有限公司
131,600163.SH,600163,中闽能源,福建,新型电力,中闽能源股份有限公司
132,600165.SH,600165,新日恒力,宁夏,化工原料,宁夏新日恒力钢丝绳股份有限公司
133,600166.SH,600166,福田汽车,北京,汽车整车,北汽福田汽车股份有限公司
134,600167.SH,600167,联美控股,辽宁,供气供热,联美量子股份有限公司
135,600168.SH,600168,武汉控股,湖北,水务,武汉三镇实业控股股份有限公司
136,600169.SH,600169,太原重工,山西,工程机械,太原重工股份有限公司
137,600170.SH,600170,上海建工,上海,建筑工程,上海建工集团股份有限公司
138,600171.SH,600171,上海贝岭,上海,半导体,上海贝岭股份有限公司
139,600172.SH,600172,黄河旋风,河南,矿物制品,河南黄河旋风股份有限公司
140,600173.SH,600173,卧龙地产,浙江,全国地产,卧龙地产集团股份有限公司
141,600176.SH,600176,中国巨石,浙江,玻璃,中国巨石股份有限公司
142,600177.SH,600177,雅戈尔,浙江,服饰,雅戈尔集团股份有限公司
143,600178.SH,600178,东安动力,黑龙江,汽车配件,哈尔滨东安汽车动力股份有限公司
144,600179.SH,600179,安通控股,黑龙江,仓储物流,安通控股股份有限公司
145,600180.SH,600180,瑞茂通,山东,仓储物流,瑞茂通供应链管理股份有限公司
146,600182.SH,600182,SST佳通,黑龙江,汽车配件,佳通轮胎股份有限公司
147,600183.SH,600183,生益科技,广东,元器件,广东生益科技股份有限公司
148,600184.SH,600184,光电股份,湖北,专用机械,北方光电股份有限公司
149,600185.SH,600185,格力地产,广东,区域地产,格力地产股份有限公司
150,600186.SH,600186,莲花健康,河南,食品,莲花健康产业集团股份有限公司
151,600187.SH,600187,国中水务,黑龙江,水务,黑龙江国中水务股份有限公司
152,600188.SH,600188,兖州煤业,山东,煤炭开采,兖州煤业股份有限公司
153,600189.SH,600189,泉阳泉,吉林,软饮料,吉林泉阳泉股份有限公司
154,600190.SH,600190,锦州港,辽宁,港口,锦州港股份有限公司
155,600191.SH,600191,*ST华资,内蒙,食品,包头华资实业股份有限公司
156,600192.SH,600192,长城电工,甘肃,电气设备,兰州长城电工股份有限公司
157,600193.SH,600193,创兴资源,上海,装修装饰,上海创兴资源开发股份有限公司
158,600195.SH,600195,中牧股份,北京,饲料,中牧实业股份有限公司
159,600196.SH,600196,复星医药,上海,化学制药,上海复星医药(集团)股份有限公司
160,600197.SH,600197,伊力特,新疆,白酒,新疆伊力特实业股份有限公司
161,600198.SH,600198,*ST大唐,北京,通信设备,大唐电信科技股份有限公司
162,600199.SH,600199,金种子酒,安徽,白酒,安徽金种子酒业股份有限公司
163,600200.SH,600200,江苏吴中,江苏,化学制药,江苏吴中医药发展股份有限公司
164,600201.SH,600201,生物股份,内蒙,农业综合,金宇生物技术股份有限公司
165,600202.SH,600202,哈空调,黑龙江,电气设备,哈尔滨空调股份有限公司
166,600203.SH,600203,福日电子,福建,元器件,福建福日电子股份有限公司
167,600206.SH,600206,有研新材,北京,半导体,有研新材料股份有限公司
168,600207.SH,600207,安彩高科,河南,供气供热,河南安彩高科股份有限公司
169,600208.SH,600208,新湖中宝,浙江,全国地产,新湖中宝股份有限公司
170,600209.SH,600209,*ST罗顿,海南,装修装饰,罗顿发展股份有限公司
171,600210.SH,600210,紫江企业,上海,广告包装,上海紫江企业集团股份有限公司
172,600211.SH,600211,西藏药业,西藏,中成药,西藏诺迪康药业股份有限公司
173,600212.SH,600212,江泉实业,山东,综合类,山东江泉实业股份有限公司
174,600213.SH,600213,亚星客车,江苏,汽车整车,扬州亚星客车股份有限公司
175,600215.SH,600215,长春经开,吉林,园区开发,长春经开(集团)股份有限公司
176,600216.SH,600216,浙江医药,浙江,化学制药,浙江医药股份有限公司
177,600217.SH,600217,中再资环,陕西,环境保护,中再资源环境股份有限公司
178,600218.SH,600218,全柴动力,安徽,农用机械,安徽全柴动力股份有限公司
179,600219.SH,600219,南山铝业,山东,铝,山东南山铝业股份有限公司
180,600220.SH,600220,江苏阳光,江苏,纺织,江苏阳光股份有限公司
181,600221.SH,600221,*ST海航,海南,空运,海南航空控股股份有限公司
182,600222.SH,600222,太龙药业,河南,中成药,河南太龙药业股份有限公司
183,600223.SH,600223,鲁商发展,山东,区域地产,鲁商健康产业发展股份有限公司
184,600225.SH,600225,*ST松江,天津,区域地产,天津松江股份有限公司
185,600226.SH,600226,ST瀚叶,浙江,互联网,浙江瀚叶股份有限公司
186,600227.SH,600227,圣济堂,贵州,化学制药,贵州圣济堂医药产业股份有限公司
187,600228.SH,600228,返利科技,江西,互联网,返利网数字科技股份有限公司
188,600229.SH,600229,城市传媒,山东,出版业,青岛城市传媒股份有限公司
189,600230.SH,600230,沧州大化,河北,农药化肥,沧州大化股份有限公司
190,600231.SH,600231,凌钢股份,辽宁,普钢,凌源钢铁股份有限公司
191,600232.SH,600232,金鹰股份,浙江,纺织,浙江金鹰股份有限公司
192,600233.SH,600233,圆通速递,辽宁,仓储物流,圆通速递股份有限公司
193,600234.SH,600234,科新发展,山西,综合类,山西科新发展股份有限公司
194,600235.SH,600235,民丰特纸,浙江,造纸,民丰特种纸股份有限公司
195,600236.SH,600236,桂冠电力,广西,水力发电,广西桂冠电力股份有限公司
196,600237.SH,600237,铜峰电子,安徽,元器件,安徽铜峰电子股份有限公司
197,600238.SH,600238,海南椰岛,海南,红黄酒,海南椰岛(集团)股份有限公司
198,600239.SH,600239,*ST云城,云南,区域地产,云南城投置业股份有限公司
199,600241.SH,600241,ST时万,辽宁,商贸代理,辽宁时代万恒股份有限公司
200,600242.SH,600242,ST中昌,广东,软件服务,中昌大数据股份有限公司
201,600243.SH,600243,青海华鼎,青海,机床制造,青海华鼎实业股份有限公司
202,600246.SH,600246,万通发展,北京,区域地产,北京万通新发展集团股份有限公司
203,600248.SH,600248,陕西建工,陕西,建筑工程,陕西建工集团股份有限公司
204,600249.SH,600249,两面针,广西,日用化工,柳州两面针股份有限公司
205,600250.SH,600250,南纺股份,江苏,商贸代理,南京纺织品进出口股份有限公司
206,600251.SH,600251,冠农股份,新疆,农业综合,新疆冠农果茸股份有限公司
207,600252.SH,600252,中恒集团,广西,中成药,广西梧州中恒集团股份有限公司
208,600255.SH,600255,鑫科材料,安徽,铜,安徽鑫科新材料股份有限公司
209,600256.SH,600256,广汇能源,新疆,石油开采,广汇能源股份有限公司
210,600257.SH,600257,大湖股份,湖南,渔业,大湖水殖股份有限公司
211,600258.SH,600258,首旅酒店,北京,酒店餐饮,北京首旅酒店(集团)股份有限公司
212,600259.SH,600259,广晟有色,海南,小金属,广晟有色金属股份有限公司
213,600260.SH,600260,ST凯乐,湖北,通信设备,湖北凯乐科技股份有限公司
214,600261.SH,600261,阳光照明,浙江,家用电器,浙江阳光照明电器集团股份有限公司
215,600262.SH,600262,北方股份,内蒙,汽车整车,内蒙古北方重型汽车股份有限公司
216,600265.SH,600265,*ST景谷,云南,林业,云南景谷林业股份有限公司
217,600266.SH,600266,城建发展,北京,区域地产,北京城建投资发展股份有限公司
218,600267.SH,600267,海正药业,浙江,化学制药,浙江海正药业股份有限公司
219,600268.SH,600268,国电南自,江苏,电气设备,国电南京自动化股份有限公司
220,600269.SH,600269,赣粤高速,江西,路桥,江西赣粤高速公路股份有限公司
221,600271.SH,600271,航天信息,北京,IT设备,航天信息股份有限公司
222,600272.SH,600272,开开实业,上海,医药商业,上海开开实业股份有限公司
223,600273.SH,600273,嘉化能源,浙江,化工原料,浙江嘉化能源化工股份有限公司
224,600275.SH,600275,*ST昌鱼,湖北,农业综合,湖北武昌鱼股份有限公司
225,600276.SH,600276,恒瑞医药,江苏,化学制药,江苏恒瑞医药股份有限公司
226,600277.SH,600277,亿利洁能,内蒙,化工原料,亿利洁能股份有限公司
227,600278.SH,600278,东方创业,上海,商贸代理,东方国际创业股份有限公司
228,600279.SH,600279,重庆港九,重庆,港口,重庆港九股份有限公司
229,600280.SH,600280,中央商场,江苏,百货,南京中央商场(集团)股份有限公司
230,600281.SH,600281,华阳新材,山西,综合类,山西华阳新材料股份有限公司
231,600282.SH,600282,南钢股份,江苏,普钢,南京钢铁股份有限公司
232,600283.SH,600283,钱江水利,浙江,水务,钱江水利开发股份有限公司
233,600284.SH,600284,浦东建设,上海,建筑工程,上海浦东建设股份有限公司
234,600285.SH,600285,羚锐制药,河南,中成药,河南羚锐制药股份有限公司
235,600287.SH,600287,江苏舜天,江苏,商贸代理,江苏舜天股份有限公司
236,600288.SH,600288,大恒科技,北京,软件服务,大恒新纪元科技股份有限公司
237,600289.SH,600289,ST信通,黑龙江,软件服务,亿阳信通股份有限公司
238,600290.SH,600290,ST华仪,浙江,电气设备,华仪电气股份有限公司
239,600291.SH,600291,*ST西水,内蒙,保险,内蒙古西水创业股份有限公司
240,600292.SH,600292,远达环保,重庆,环境保护,国家电投集团远达环保股份有限公司
241,600293.SH,600293,三峡新材,湖北,玻璃,湖北三峡新型建材股份有限公司
242,600295.SH,600295,鄂尔多斯,内蒙,小金属,内蒙古鄂尔多斯资源股份有限公司
243,600297.SH,600297,广汇汽车,辽宁,汽车服务,广汇汽车服务集团股份公司
244,600298.SH,600298,安琪酵母,湖北,食品,安琪酵母股份有限公司
245,600299.SH,600299,安迪苏,北京,化学制药,蓝星安迪苏股份有限公司
246,600300.SH,600300,ST维维,江苏,软饮料,维维食品饮料股份有限公司
247,600301.SH,600301,*ST南化,广西,商贸代理,南宁化工股份有限公司
248,600302.SH,600302,标准股份,陕西,纺织机械,西安标准工业股份有限公司
249,600303.SH,600303,曙光股份,辽宁,汽车整车,辽宁曙光汽车集团股份有限公司
250,600305.SH,600305,恒顺醋业,江苏,食品,江苏恒顺醋业股份有限公司
251,600306.SH,600306,*ST商城,辽宁,百货,沈阳商业城股份有限公司
252,600307.SH,600307,酒钢宏兴,甘肃,普钢,甘肃酒钢集团宏兴钢铁股份有限公司
253,600308.SH,600308,华泰股份,山东,造纸,山东华泰纸业股份有限公司
254,600309.SH,600309,万华化学,山东,化工原料,万华化学集团股份有限公司
255,600310.SH,600310,桂东电力,广西,水力发电,广西桂东电力股份有限公司
256,600311.SH,600311,ST荣华,甘肃,黄金,甘肃荣华实业(集团)股份有限公司
257,600312.SH,600312,平高电气,河南,电气设备,河南平高电气股份有限公司
258,600313.SH,600313,农发种业,北京,种植业,中农发种业集团股份有限公司
259,600315.SH,600315,上海家化,上海,日用化工,上海家化联合股份有限公司
260,600316.SH,600316,洪都航空,江西,航空,江西洪都航空工业股份有限公司
261,600318.SH,600318,新力金融,安徽,多元金融,安徽新力金融股份有限公司
262,600319.SH,600319,*ST亚星,山东,化工原料,潍坊亚星化学股份有限公司
263,600320.SH,600320,振华重工,上海,工程机械,上海振华重工(集团)股份有限公司
264,600321.SH,600321,正源股份,四川,其他建材,正源控股股份有限公司
265,600322.SH,600322,天房发展,天津,区域地产,天津市房地产发展(集团)股份有限公司
266,600323.SH,600323,瀚蓝环境,广东,水务,瀚蓝环境股份有限公司
267,600325.SH,600325,华发股份,广东,区域地产,珠海华发实业股份有限公司
268,600326.SH,600326,西藏天路,西藏,水泥,西藏天路股份有限公司
269,600327.SH,600327,大东方,江苏,汽车服务,无锡商业大厦大东方股份有限公司
270,600328.SH,600328,中盐化工,内蒙,化工原料,中盐内蒙古化工股份有限公司
271,600329.SH,600329,中新药业,天津,中成药,天津中新药业集团股份有限公司
272,600330.SH,600330,天通股份,浙江,元器件,天通控股股份有限公司
273,600331.SH,600331,宏达股份,四川,铅锌,四川宏达股份有限公司
274,600332.SH,600332,白云山,广东,中成药,广州白云山医药集团股份有限公司
275,600333.SH,600333,长春燃气,吉林,供气供热,长春燃气股份有限公司
276,600335.SH,600335,国机汽车,天津,汽车配件,国机汽车股份有限公司
277,600336.SH,600336,澳柯玛,山东,家用电器,澳柯玛股份有限公司
278,600337.SH,600337,美克家居,新疆,家居用品,美克国际家居用品股份有限公司
279,600338.SH,600338,西藏珠峰,西藏,铅锌,西藏珠峰资源股份有限公司
280,600339.SH,600339,中油工程,新疆,石油加工,中国石油集团工程股份有限公司
281,600340.SH,600340,华夏幸福,河北,区域地产,华夏幸福基业股份有限公司
282,600343.SH,600343,航天动力,陕西,航空,陕西航天动力高科技股份有限公司
283,600345.SH,600345,长江通信,湖北,通信设备,武汉长江通信产业集团股份有限公司
284,600346.SH,600346,恒力石化,辽宁,化纤,恒力石化股份有限公司
285,600348.SH,600348,华阳股份,山西,煤炭开采,山西华阳集团新能股份有限公司
286,600350.SH,600350,山东高速,山东,路桥,山东高速股份有限公司
287,600351.SH,600351,亚宝药业,山西,中成药,亚宝药业集团股份有限公司
288,600352.SH,600352,浙江龙盛,浙江,染料涂料,浙江龙盛集团股份有限公司
289,600353.SH,600353,旭光电子,四川,元器件,成都旭光电子股份有限公司
290,600354.SH,600354,敦煌种业,甘肃,种植业,甘肃省敦煌种业集团股份有限公司
